155.0003684282,0.0
155.0012411482,42.1487719281
155.0021138682,38.1286781405
155.0029865882,30.9991190433
155.0038593083,23.1370121664
155.0047320283,15.9674568882
155.0056047483,10.7131864344
155.0064774683,6.8694821201
155.0073501884,3.6428125223
155.0082229084,1.5433734929
155.0090956284,1.4321808399
155.0099683484,1.6239792136
155.0108410684,2.7086743212
155.0117137885,4.246494697
155.0125865085,5.5512550524
155.0134592285,5.7264849509
155.0143319485,5.2046720285
155.0152046686,4.7181749182
155.0160773886,5.2771419179
155.0169501086,7.4618618192
155.0178228286,12.0096965311
155.0186955487,18.0572870453
155.0195682687,22.810774557
155.0204409887,23.9516287224
155.0213137087,21.4329191613
155.0221864288,17.4360198109
155.0230591488,13.3165472439
155.0239318688,10.5692254591
155.0248045888,9.1301670035
155.0256773089,8.9935939608
155.0265500289,9.3200369996
155.0274227489,8.9433062042
155.0282954689,8.1767006757
155.029168189,7.6347988721
155.030040909,8.0654299835
155.030913629,8.4547625756
155.031786349,8.953301112
155.032659069,8.1476243687
155.0335317891,6.3099090529
155.0344045091,4.9107598166
155.0352772291,3.8069424188
155.0361499491,3.0121014491
155.0370226692,3.7416008303
155.0378953892,5.0765996159
155.0387681092,6.8568714586
155.0396408292,6.9979449034
155.0405135493,5.9083272561
155.0413862693,2.9638729427
155.0422589893,1.2351638569
155.0431317093,0.4932232709
155.0440044294,0.500661851
155.0448771494,0.7782273202
155.0457498694,2.5966616483
155.0466225894,5.8506154197
155.0474953095,10.305634619
155.0483680295,15.833178029
155.0492407495,20.8045994288
155.0501134695,25.4096787446
155.0509861896,24.9865996403
155.0518589096,20.9280138168
155.0527316296,12.4590003264
155.0536043496,3.5743234006
155.0544770696,0.8603842835
155.0553497897,0.8677335582
155.0562225097,2.6547692007
155.0570952297,7.5217557551
155.0579679497,23.4488399823
155.0588406698,56.6969230876
155.0597133898,93.7752481668
155.0605861098,122.5823670505
155.0614588298,135.0790909873
155.0623315499,128.181048704
155.0632042699,104.7588549491
155.0640769899,71.5539092574
155.0649497099,37.1239881653
155.06582243,13.2965909193
155.06669515,3.7812924593
155.06756787,1.9313141728
155.06844059,3.9589093983
155.0693133101,11.6209392652
155.0701860301,23.8373672405
155.0710587501,35.5983042297
155.0719314701,44.7553404244
155.0728041902,48.963272653
155.0736769102,48.485564612
155.0745496302,42.8139815193
155.0754223502,34.2891089687
155.0762950702,23.3718020165
155.0771677903,12.5286056768
155.0780405103,5.2387456424
155.0789132303,2.5784221826
155.0797859503,1.2847509074
155.0806586704,0.8416009316
155.0815313904,0.5899007813
155.0824041104,0.6167091757
155.0832768304,2.0581953671
155.0841495505,3.4323904793
155.0850222705,5.6647628359
155.0858949905,8.6154172792
155.0867677105,11.2733578179
155.0876404306,13.2229598292
155.0885131506,13.4736717672
155.0893858706,11.5827347516
155.0902585906,8.6790942641
155.0911313107,6.9427714331
155.0920040307,6.1673928424
155.0928767507,5.3588169147
155.0937494707,4.9003517832
155.0946221908,4.8855651221
155.0954949108,4.9746578413
155.0963676308,5.0777367136
155.0972403508,4.9101339518
155.0981130708,5.9466210696
155.0989857909,6.7599580487
155.0998585109,7.0359660347
155.1007312309,7.2662536689
155.1016039509,7.2267724418
155.102476671,6.7776496265
155.103349391,6.4110789062
155.104222111,7.2164987953
155.105094831,8.5035315191
155.1059675511,9.4143370338
155.1068402711,9.7424975442
155.1077129911,10.9691656443
155.1085857111,10.8673542272
155.1094584312,10.9452392734
155.1103311512,10.376485787
155.1112038712,9.6181808409
155.1120765912,8.6338271087
155.1129493113,7.8423004097
155.1138220313,7.6064943405
155.1146947513,7.9068693391
155.1155674713,8.3417812158
155.1164401914,9.0046831226
155.1173129114,9.7018164485
155.1181856314,10.4706432799
155.1190583514,11.7568736029
155.1199310714,12.2998978361
155.1208037915,11.3399412964
155.1216765115,11.7221018274
155.1225492315,12.2545757468
155.1234219515,12.13917155
155.1242946716,11.9101698061
155.1251673916,11.1024830442
155.1260401116,10.3372491213
155.1269128316,9.4065050524
155.1277855517,8.3650731289
155.1286582717,6.9573540098
155.1295309917,6.2854295712
155.1304037117,6.0062858641
155.1312764318,5.4377436409
155.1321491518,5.4779225199
155.1330218718,5.8283846496
155.1338945918,6.5720769108
155.1347673119,7.5037092584
155.1356400319,7.9549246916
155.1365127519,8.0455488629
155.1373854719,7.9965252619
155.138258192,8.5985086125
155.139130912,10.0884181179
155.140003632,11.0193265806
155.140876352,11.4100983727
155.1417490721,11.0079020939
155.1426217921,10.5312674106
155.1434945121,9.7263676756
155.1443672321,8.845944252
155.1452399521,8.4360738005
155.1461126722,8.8247662259
155.1469853922,9.1675705454
155.1478581122,8.9179926048
155.1487308322,8.1754733437
155.1496035523,7.2354822808
155.1504762723,6.4560464943
155.1513489923,6.4882895764
155.1522217123,6.480479964
155.1530944324,5.9944201769
155.1539671524,6.8997209277
155.1548398724,7.5679221694
155.1557125924,8.1801520544
155.1565853125,9.6030322536
155.1574580325,10.6425124061
155.1583307525,11.6140178261
155.1592034725,12.5896740966
155.1600761926,13.5502952672
155.1609489126,13.7104293457
155.1618216326,13.4706583941
155.1626943526,13.145343698
155.1635670727,12.3959013471
155.1644397927,11.7982247812
155.1653125127,10.8777258667
155.1661852327,10.3940140898
155.1670579527,9.2745195715
155.1679306728,8.7961360806
155.1688033928,9.8206521959
155.1696761128,10.407521593
155.1705488328,10.4576180094
155.1714215529,10.5138950218
155.1722942729,10.6515652997
155.1731669929,10.4248765265
155.1740397129,9.6862725781
155.174912433,8.6492183585
155.175785153,8.0654646541
155.176657873,7.5415934337
155.177530593,6.8843257011
155.1784033131,6.9525822373
155.1792760331,7.8199628133
155.1801487531,8.3847599587
155.1810214731,8.0928894338
155.1818941932,7.4054329556
155.1827669132,6.5780742791
155.1836396332,6.3550522825
155.1845123532,7.0267021642
155.1853850733,8.2698602851
155.1862577933,9.6021532022
155.1871305133,10.5000809006
155.1880032333,11.6226492545
